park,time,ptype
Fruška Gora National Park,2005-01-31T23:00:00Z,3.3414306640625
Fruška Gora National Park,2005-02-28T23:00:00Z,3.3857421875
Fruška Gora National Park,2005-03-31T23:00:00Z,3.040283203125
Fruška Gora National Park,2005-04-30T23:00:00Z,3.0806884765625
Fruška Gora National Park,2005-05-31T23:00:00Z,3.0806884765625
Fruška Gora National Park,2005-06-30T23:00:00Z,3.0927734375
Fruška Gora National Park,2005-07-31T23:00:00Z,3.0416259765625
Fruška Gora National Park,2005-08-31T23:00:00Z,3.0416259765625
Fruška Gora National Park,2005-09-30T23:00:00Z,2.92333984375
Fruška Gora National Park,2005-10-31T23:00:00Z,2.7406005859375
Fruška Gora National Park,2005-11-30T23:00:00Z,2.7406005859375
Fruška Gora National Park,2005-12-31T23:00:00Z,2.646484375
Fruška Gora National Park,2006-01-31T23:00:00Z,2.6639404296875
Fruška Gora National Park,2006-02-28T23:00:00Z,2.6639404296875
Fruška Gora National Park,2006-03-31T23:00:00Z,2.801025390625
Fruška Gora National Park,2006-04-30T23:00:00Z,3.2218017578125
Fruška Gora National Park,2006-05-31T23:00:00Z,3.2218017578125
Fruška Gora National Park,2006-06-30T23:00:00Z,3.8857421875
Fruška Gora National Park,2006-07-31T23:00:00Z,3.981201171875
Fruška Gora National Park,2006-08-31T23:00:00Z,3.040283203125
Fruška Gora National Park,2006-09-30T23:00:00Z,3.0806884765625
Fruška Gora National Park,2006-10-31T23:00:00Z,3.0806884765625
Fruška Gora National Park,2006-11-30T23:00:00Z,3.0927734375
Fruška Gora National Park,2006-12-31T23:00:00Z,3.0416259765625
Fruška Gora National Park,2007-01-31T23:00:00Z,3.0416259765625
Fruška Gora National Park,2007-02-28T23:00:00Z,2.92333984375
Fruška Gora National Park,2007-03-31T23:00:00Z,2.7406005859375
Fruška Gora National Park,2007-04-30T23:00:00Z,2.7406005859375
Fruška Gora National Park,2007-05-31T23:00:00Z,2.646484375
Fruška Gora National Park,2007-06-30T23:00:00Z,2.6639404296875
Fruška Gora National Park,2007-07-31T23:00:00Z,2.6639404296875
Fruška Gora National Park,2007-08-31T23:00:00Z,2.801025390625
Fruška Gora National Park,2007-09-30T23:00:00Z,3.2218017578125
Fruška Gora National Park,2007-10-31T23:00:00Z,3.2218017578125
Fruška Gora National Park,2007-11-30T23:00:00Z,3.8857421875
Fruška Gora National Park,2007-12-31T23:00:00Z,3.981201171875
Fruška Gora National Park,2008-01-31T23:00:00Z,2.8575439453125
Fruška Gora National Park,2008-02-29T23:00:00Z,2.8387451171875
Fruška Gora National Park,2008-03-31T23:00:00Z,2.8387451171875
Fruška Gora National Park,2008-04-30T23:00:00Z,3.051025390625
Fruška Gora National Park,2008-05-31T23:00:00Z,3.09814453125
Fruška Gora National Park,2008-06-30T23:00:00Z,3.09814453125
Fruška Gora National Park,2008-07-31T23:00:00Z,2.8280029296875
Fruška Gora National Park,2008-08-31T23:00:00Z,2.6719970703125
Fruška Gora National Park,2008-09-30T23:00:00Z,2.6719970703125
Fruška Gora National Park,2008-10-31T23:00:00Z,2.6317138671875
Fruška Gora National Park,2008-11-30T23:00:00Z,2.646484375
Fruška Gora National Park,2008-12-31T23:00:00Z,2.646484375
Fruška Gora National Park,2009-01-31T23:00:00Z,3.2218017578125
Fruška Gora National Park,2009-02-28T23:00:00Z,3.888427734375
Fruška Gora National Park,2009-03-31T23:00:00Z,3.888427734375
Fruška Gora National Park,2009-04-30T23:00:00Z,3.9718017578125
Fruška Gora National Park,2009-05-31T23:00:00Z,3.84814453125
Fruška Gora National Park,2009-06-30T23:00:00Z,3.100830078125
Fruška Gora National Park,2009-07-31T23:00:00Z,2.79833984375
Fruška Gora National Park,2009-08-31T23:00:00Z,2.79833984375
Fruška Gora National Park,2009-09-30T23:00:00Z,2.8575439453125
Fruška Gora National Park,2009-10-31T23:00:00Z,2.6800537109375
